id,category,dose_mg,regimen,phase,population,n,metric,value,units,dispersion,dispersion_type,ci_lower,ci_upper,source_doc,source_page,source_table,verification_status,notes
EFF01,efficacy,180,QD,Phase 1,NSCLC,3,ORR,33.3,percent,1 responder,count,0.8,90.6,FDA NDA 214665 MDR,94,Sotorasib Monotherapy in NSCLC (Fasted) (unnumbered),VERIFIED,n=3. CI width 90 percentage points. Uninterpretable alone
EFF02,efficacy,360,QD,Phase 1,NSCLC,16,ORR,25.0,percent,4 responders,count,7.3,52.4,FDA NDA 214665 MDR,94,Sotorasib Monotherapy in NSCLC (Fasted) (unnumbered),VERIFIED,
EFF03,efficacy,720,QD,Phase 1,NSCLC,6,ORR,50.0,percent,3 responders,count,11.8,88.2,FDA NDA 214665 MDR,94,Sotorasib Monotherapy in NSCLC (Fasted) (unnumbered),VERIFIED,Highest point estimate is at 720 mg not 960 mg
EFF04,efficacy,960,QD,Phase 1,NSCLC,34,ORR,47.1,percent,16 responders,count,29.8,64.9,FDA NDA 214665 MDR,94,Sotorasib Monotherapy in NSCLC (Fasted) (unnumbered),VERIFIED,
EFF05,efficacy,960,QD,Phase 2,NSCLC,123,ORR,37.4,percent,46 responders,count,28.8,46.6,FDA NDA 214665 MDR,94,Sotorasib Monotherapy in NSCLC (Fasted) (unnumbered),VERIFIED,Registrational cohort. Note lower than Phase 1 960 mg (47.1)
ERE01,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in AUCtau_ss quartile 1,44,percent,25/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (left panel),VERIFIED_FROM_FIGURE,Quartile bin range 13000 to 19000 hr*ng/mL. Values printed on bars
ERE02,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in AUCtau_ss quartile 2,46,percent,26/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (left panel),VERIFIED_FROM_FIGURE,Quartile bin range 19000 to 27000 hr*ng/mL
ERE03,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in AUCtau_ss quartile 3,37,percent,21/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (left panel),VERIFIED_FROM_FIGURE,Quartile bin range 27000 to 46000 hr*ng/mL
ERE04,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in AUCtau_ss quartile 4,21,percent,12/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (left panel),VERIFIED_FROM_FIGURE,Quartile bin range 46000 to 80000 hr*ng/mL. MONOTONIC INVERSE TREND
ERE05,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in Ctrough_ss quartile 1,46,percent,26/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (right panel),VERIFIED_FROM_FIGURE,Bin midpoint 42 ng/mL range 17 to 58
ERE06,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in Ctrough_ss quartile 2,47,percent,27/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (right panel),VERIFIED_FROM_FIGURE,Bin midpoint 87 ng/mL range 58 to 110
ERE07,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in Ctrough_ss quartile 3,40,percent,23/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (right panel),VERIFIED_FROM_FIGURE,Bin midpoint 140 ng/mL range 110 to 250
ERE08,exposure_response_efficacy,pooled,QD,Phase 1/2,NSCLC,57,ORR in Ctrough_ss quartile 4,14,percent,8/57,count,NA,NA,FDA NDA 214665 MDR,248,Figure 26 (right panel),VERIFIED_FROM_FIGURE,Bin midpoint 390 ng/mL range 250 to 1900. MONOTONIC INVERSE TREND
ERS01,exposure_response_safety,pooled,QD,Phase 1/2,NSCLC,421,Logistic slope p-value Grade 3+ TEAE vs AUCtau_ss,5.15e-07,p-value,NA,NA,NA,NA,FDA NDA 214665 MDR,250,Figure 29 (top left),VERIFIED_FROM_FIGURE,SIGNIFICANT POSITIVE SLOPE. Quartiles n=106/105/105/105. CIs Clopper-Pearson
ERS02,exposure_response_safety,pooled,QD,Phase 1/2,NSCLC,421,Logistic slope p-value Grade 3+ treatment-related AE vs AUCtau_ss,0.474,p-value,NA,NA,NA,NA,FDA NDA 214665 MDR,250,Figure 29 (top right),VERIFIED_FROM_FIGURE,NOT SIGNIFICANT. This is the panel FDA's summary language refers to
ERS03,exposure_response_safety,pooled,QD,Phase 1/2,NSCLC,421,Logistic slope p-value any-grade GI disorders vs AUCtau_ss,0.267,p-value,NA,NA,NA,NA,FDA NDA 214665 MDR,250,Figure 29 (bottom left),VERIFIED_FROM_FIGURE,NOT SIGNIFICANT
ERS04,exposure_response_safety,pooled,QD,Phase 1/2,NSCLC,421,Logistic slope p-value Grade 3+ GI disorders vs AUCtau_ss,0.000624,p-value,NA,NA,NA,NA,FDA NDA 214665 MDR,250,Figure 29 (bottom right),VERIFIED_FROM_FIGURE,SIGNIFICANT POSITIVE SLOPE
SAF01,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Any TEAE Grade 3-4,43,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 99 percent
SAF02,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Diarrhea Grade 3-4,5,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 42 percent. Grouped term
SAF03,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Nausea Grade 3-4,1,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 26 percent
SAF04,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Vomiting Grade 3-4,1.5,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 17 percent
SAF05,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Hepatotoxicity Grade 3-4,12,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 25 percent. Grouped term includes ALT AST bilirubin DILI hepatitis
SAF06,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Musculoskeletal pain Grade 3-4,8,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 35 percent
SAF07,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Pneumonia Grade 3-4,7,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 12 percent
SAF08,safety,960,QD,Phase 1/2,NSCLC primary safety population,204,Fatigue Grade 3-4,2,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,194,Table 31,VERIFIED,Grade 1-4 was 26 percent
SAF09,safety,960,QD,Phase 1/2,NSCLC,204,Permanent discontinuation due to adverse reaction,9,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,label section and p197,Highlights of Prescribing Information,VERIFIED,
SAF10,safety,960,QD,Phase 1/2,NSCLC,204,AE leading to interruption or dose reduction,34.8,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,197,Narrative text,VERIFIED,Compared to 9.3 percent leading to permanent discontinuation
SAF11,safety,960,QD,Phase 1/2,NSCLC,204,Grade 3 or 4 hepatotoxicity,12,percent,NA,NA,NA,NA,FDA NDA 214665 MDR,~121 narrative,Narrative text,VERIFIED,Cross-check with SAF05
FDA01,regulatory,960,QD,NA,NA,NA,FDA position on dose optimization,FDA does not consider 960 mg QD to be optimized,text,NA,NA,NA,NA,FDA NDA 214665 MDR,93,FDA's Assessment,VERIFIED,Five enumerated reasons follow on pp 93-94
FDA02,regulatory,NA,NA,NA,NA,NA,PMR 2 requirement,Randomized trial comparing 960 mg vs lower daily dose,text,NA,NA,NA,NA,FDA NDA 214665 MDR,215,Postmarketing Requirements,VERIFIED,Final report submission due 02/2023
FDA03,regulatory,NA,NA,NA,NA,NA,Applicant predicted minimal efficacious dose range,30 to 240,mg QD,NA,NA,NA,NA,FDA NDA 214665 MDR,94,FDA's Assessment item 4,VERIFIED,Based on in silico tumor growth inhibition models. Amgen's own prediction
FDA04,regulatory,960,QD,NA,NA,NA,Pill burden at approved dose,8,tablets per dose,NA,NA,NA,NA,FDA NDA 214665 MDR,94 and 215,FDA's Assessment item 5,VERIFIED,120 mg tablets
DDI01,covariate,NA,NA,Phase 1,Healthy subjects,NA,Rifampin (strong CYP3A4 inducer) effect on sotorasib AUCinf,0.487,GMR test/reference,NA,NA,NA,NA,FDA NDA 214665 MDR,~131,DDI summary table,VERIFIED,Cmax GMR 0.647. Confirms CYP3A4 substrate
DDI02,covariate,NA,NA,Phase 1,Healthy subjects,NA,Itraconazole (strong CYP3A4 inhibitor) effect on sotorasib AUCinf,1.261,GMR test/reference,NA,NA,NA,NA,FDA NDA 214665 MDR,~131,DDI summary table,VERIFIED,Cmax GMR 1.040
DDI03,covariate,NA,NA,Phase 1,Healthy subjects,NA,Omeprazole 40 mg effect on sotorasib AUCinf,0.582,GMR test/reference,NA,NA,NA,NA,FDA NDA 214665 MDR,~131,DDI summary table,VERIFIED,Cmax GMR 0.431. Larger than the popPK PPI covariate effect (-18 percent)
CB100_01,dose_comparison,960,QD,Phase 2 randomized,NSCLC,104,Confirmed ORR,32.7,percent,34 responders,count,23.8,42.6,Hochmair EJC 2024;208:114204,Table 2,Table 2,VERIFIED,Clopper-Pearson exact 95% CI. Data cutoff 23 Jun 2023
CB100_02,dose_comparison,240,QD,Phase 2 randomized,NSCLC,105,Confirmed ORR,24.8,percent,26 responders,count,16.9,34.1,Hochmair EJC 2024;208:114204,Table 2,Table 2,VERIFIED,Clopper-Pearson exact 95% CI
CB100_03,dose_comparison,960 vs 240,QD,Phase 2 randomized,NSCLC,209,ORR difference stratified,6.9,percent,NA,NA,-3.4,17.1,Hochmair EJC 2024;208:114204,Table 2,Table 2,VERIFIED,90% CI CROSSES ZERO. Mantel-Haenszel adjusted for stratification factors
CB100_04,dose_comparison,960 vs 240,QD,Phase 2 randomized,NSCLC,209,ORR difference unstratified,7.9,percent,NA,NA,-2.3,18.2,Hochmair EJC 2024;208:114204,Table 2,Table 2,VERIFIED,90% CI CROSSES ZERO
CB100_05,dose_comparison,960,QD,Phase 2 randomized,NSCLC,104,Median PFS,5.4,months,NA,NA,4.2,6.9,Hochmair EJC 2024;208:114204,Fig 2A,Figure 2A,VERIFIED,
CB100_06,dose_comparison,240,QD,Phase 2 randomized,NSCLC,105,Median PFS,5.6,months,NA,NA,4.1,8.3,Hochmair EJC 2024;208:114204,Fig 2A,Figure 2A,VERIFIED,LOW DOSE NUMERICALLY HIGHER
CB100_07,dose_comparison,960 vs 240,QD,Phase 2 randomized,NSCLC,209,PFS stratified HR,0.95,hazard ratio,NA,NA,0.67,1.35,Hochmair EJC 2024;208:114204,Fig 2A,Figure 2A,VERIFIED,Essentially null. Ratain calls the curves superimposable
CB100_08,dose_comparison,960,QD,Phase 2 randomized,NSCLC,104,Median OS,13.0,months,NA,NA,10.7,18.8,Hochmair EJC 2024;208:114204,Fig 2B,Figure 2B,VERIFIED,Median follow-up 17.5 months
CB100_09,dose_comparison,240,QD,Phase 2 randomized,NSCLC,105,Median OS,11.7,months,NA,NA,9.5,15.4,Hochmair EJC 2024;208:114204,Fig 2B,Figure 2B,VERIFIED,
CB100_10,dose_comparison,960 vs 240,QD,Phase 2 randomized,NSCLC,209,OS stratified HR,0.75,hazard ratio,NA,NA,0.53,1.07,Hochmair EJC 2024;208:114204,Fig 2B,Figure 2B,VERIFIED,CI CROSSES 1. OS separates more than PFS - be suspicious
CB100_11,dose_comparison,960,QD,Phase 2 randomized,NSCLC,104,Disease control rate,86.5,percent,90 patients,count,78.5,92.4,Hochmair EJC 2024;208:114204,Table 2,Table 2,VERIFIED,
CB100_12,dose_comparison,240,QD,Phase 2 randomized,NSCLC,105,Disease control rate,81.9,percent,86 patients,count,73.2,88.7,Hochmair EJC 2024;208:114204,Table 2,Table 2,VERIFIED,Difference 4.9 (90% CI -3.7 13.5) crosses zero
CB100_13,dose_comparison_PK,960 vs 240,QD,Phase 2 randomized,NSCLC,208,AUC0-24h ratio Day 8,1.3,fold,NA,NA,NA,NA,Hochmair EJC 2024;208:114204,Fig 3,Figure 3,VERIFIED,960 higher. Implies 240/960 exposure ratio = 0.77
CB100_14,dose_comparison_PK,960 vs 240,QD,Phase 2 randomized,NSCLC,208,Cmax ratio Day 8,1.3,fold,NA,NA,NA,NA,Hochmair EJC 2024;208:114204,Fig 3,Figure 3,VERIFIED,
CB100_15,dose_comparison_PK,960 vs 240,QD,Phase 2 randomized,NSCLC,208,AUC0-24h ratio Day 1,1.5,fold,NA,NA,NA,NA,Hochmair EJC 2024;208:114204,Fig 3,Figure 3,VERIFIED,Ratio SHRINKS from 1.5 (D1) to 1.3 (D8) as autoinduction acts more on the high dose
CB100_16,dose_comparison_PK,960 vs 240,QD,Phase 2 randomized,NSCLC,208,Cmax ratio Day 1,1.4,fold,NA,NA,NA,NA,Hochmair EJC 2024;208:114204,Fig 3,Figure 3,VERIFIED,
CB100_17,design,960 vs 240,QD,Phase 2 randomized,NSCLC,209,Dose reductions permitted,960 mg group only,text,NA,NA,NA,NA,Hochmair EJC 2024;208:114204,Section 2.1,Methods,VERIFIED,ASYMMETRIC DESIGN. Central unexamined confound. See ANALYSIS_NOTES
CB100_18,design,NA,NA,Phase 2 randomized,NSCLC,209,Enrollment needed for formal hypothesis testing,600,patients,NA,NA,NA,NA,Hochmair EJC 2024;208:114204,Discussion,Discussion,VERIFIED,Amgen's own stated figure. Reproduce independently
CB100_19,baseline,960,QD,Phase 2 randomized,NSCLC,104,History of liver metastasis,9.6,percent,10 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 1,Table 1,VERIFIED,ONLY stated baseline imbalance
CB100_20,baseline,240,QD,Phase 2 randomized,NSCLC,105,History of liver metastasis,18.1,percent,19 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 1,Table 1,VERIFIED,NEARLY 2X HIGHER IN LOW DOSE ARM. Poor prognostic factor. Favors 960 arm
CB100_21,safety,960,QD,Phase 2 randomized,NSCLC,104,Grade 3+ TEAE,61.5,percent,64 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_22,safety,240,QD,Phase 2 randomized,NSCLC,104,Grade 3+ TEAE,49.0,percent,51 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,Safety analysis set n=104 not 105
CB100_23,safety,960,QD,Phase 2 randomized,NSCLC,104,Grade 4+ TEAE,15.4,percent,16 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_24,safety,240,QD,Phase 2 randomized,NSCLC,104,Grade 4+ TEAE,5.8,percent,6 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,Ratain: 167 percent relative increase at 960 mg
CB100_25,safety,960,QD,Phase 2 randomized,NSCLC,104,Fatal TEAE,5.8,percent,6 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,Causes listed in Fig 4 footnote; several not plausibly drug-related
CB100_26,safety,240,QD,Phase 2 randomized,NSCLC,104,Fatal TEAE,3.8,percent,4 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,Absolute difference is 2 patients
CB100_27,safety,960,QD,Phase 2 randomized,NSCLC,104,Diarrhea any grade,39.4,percent,41 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_28,safety,240,QD,Phase 2 randomized,NSCLC,104,Diarrhea any grade,31.7,percent,33 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_29,safety,960,QD,Phase 2 randomized,NSCLC,104,ALT increased any grade,14.4,percent,15 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_30,safety,240,QD,Phase 2 randomized,NSCLC,104,ALT increased any grade,17.3,percent,18 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,HIGHER AT LOW DOSE
CB100_31,safety,960,QD,Phase 2 randomized,NSCLC,104,Hepatotoxicity leading to discontinuation,5.8,percent,6 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_32,safety,240,QD,Phase 2 randomized,NSCLC,104,Hepatotoxicity leading to discontinuation,10.6,percent,11 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,NEARLY 2X HIGHER AT LOW DOSE. Direct consequence of the asymmetric dose-reduction rule
CB100_33,safety,960,QD,Phase 2 randomized,NSCLC,104,TEAE leading to dose reduction or interruption,47.1,percent,49 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_34,safety,240,QD,Phase 2 randomized,NSCLC,104,TEAE leading to dose reduction or interruption,39.4,percent,41 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,Interruption only - reductions were not permitted in this arm
CB100_35,safety,960,QD,Phase 2 randomized,NSCLC,104,TEAE leading to dose reduction,17.3,percent,18 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Fig 4A,Figure 4A,VERIFIED,240 mg arm shows N/A - structurally impossible not zero
CB100_36,safety,960,QD,Phase 2 randomized,NSCLC,104,TEAE leading to discontinuation,16.3,percent,17 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_37,safety,240,QD,Phase 2 randomized,NSCLC,104,TEAE leading to discontinuation,12.5,percent,13 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_38,safety,960,QD,Phase 2 randomized,NSCLC,104,Renal toxicity any grade,18.3,percent,19 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,
CB100_39,safety,240,QD,Phase 2 randomized,NSCLC,104,Renal toxicity any grade,9.6,percent,10 patients,count,NA,NA,Hochmair EJC 2024;208:114204,Table 3,Table 3,VERIFIED,Nearly 2x higher at 960 mg
CB100_40,dose_comparison,960,QD,Phase 2 randomized,NSCLC,104,Median DOR updated,16.4,months,NA,NA,5.6,20.7,Hochmair EJC 2024;208:114204,Section 3.2,Results,VERIFIED,Initial estimate was 13.8 months and immature
CB100_41,dose_comparison,240,QD,Phase 2 randomized,NSCLC,105,Median DOR updated,12.5,months,NA,NA,7.0,19.4,Hochmair EJC 2024;208:114204,Section 3.2,Results,VERIFIED,CIs overlap heavily
PR_01,commentary,NA,NA,NA,NA,NA,Popat-Ratain conclusion,No clinical or pharmacological basis for a dose greater than 240 mg,text,NA,NA,NA,NA,Popat EJC 2024;212:115044,1,Full text,VERIFIED,
PR_02,commentary,NA,NA,NA,NA,NA,Amgen patent application filed March 2022,Claims total daily dose of 240 mg sotorasib,text,NA,NA,NA,NA,Popat EJC 2024;212:115044,1,Full text,VERIFIED,WO2022197865A1. Included PK from 72 CodeBreaK 100 part B patients
PR_03,commentary,NA,NA,NA,NA,NA,Fraction of incremental 720 mg absorbed,<10,percent,NA,NA,NA,NA,Popat EJC 2024;212:115044,2,Full text,VERIFIED,Derived from 300 percent dose increase yielding 30 percent exposure increase
PR_04,commentary,NA,NA,NA,NA,NA,PK sampling limitation in CodeBreaK 100 part B,Days 1 and 8 only; steady state not reached until as late as day 22,text,NA,NA,NA,NA,Popat EJC 2024;212:115044,2,Full text,VERIFIED,KEY. Day 8 comparison is pre-steady-state
PR_05,realworld,NA,NA,Retrospective,US Veterans NSCLC,128,PFS HR dose-reduced vs not,0.60,hazard ratio,8.7 vs 4.3 months,median,NA,NA,Zhou JTO Clin Res Rep 2024;5:100670,via Popat EJC,Cited,VERIFIED_VIA_SECONDARY,IMMORTAL TIME BIAS. Must state before citing
PR_06,realworld,NA,NA,Retrospective,US Veterans NSCLC,128,OS HR dose-reduced vs not,0.42,hazard ratio,15.8 vs 8.8 months,median,NA,NA,Zhou JTO Clin Res Rep 2024;5:100670,via Popat EJC,Cited,VERIFIED_VIA_SECONDARY,37 of 128 patients dose-reduced. Same bias caveat
PR_07,commentary,NA,NA,NA,NA,NA,Alternative dosing proposal,240 mg BID would achieve higher exposure than 960 mg QD,text,NA,NA,NA,NA,Popat EJC 2024;212:115044,3,Full text,VERIFIED,Follows directly from saturable absorption. Testable by simulation
CB300_01,dose_comparison,960 vs 240,QD,Phase 3 CRC,Colorectal + panitumumab,NA,Day 15 exposure comparison,240 mg yielded numerically higher exposure than 960 mg,text,NA,NA,NA,NA,Popat EJC 2024;212:115044,2,Full text,VERIFIED_VIA_SECONDARY,OPPOSITE DIRECTION from CodeBreaK 100 part B. Supports random variability
