block,parameter,description,unit,base_model_mean,base_model_pct_rse,final_model_mean,final_model_pct_rse,source_page,notes
Covariate_CL,CLALB,Baseline albumin on CL,(L/hr)/(g/dL),NA,NA,0.0296,11.0,238,CONTINUOUS not categorical. Higher albumin = higher CL = lower exposure. Centering value not stated in Table 35
Covariate_CL,CLRACE1,Asian on CL,proportional change,NA,NA,0.220,32.0,238,Reference = Caucasian
Covariate_CL,CLRACE2,Black or African American on CL,proportional change,NA,NA,0.074,86.7,238,RSE 86.7% - poorly identified
Covariate_CL,CLRACE3,Other or Multiple on CL,proportional change,NA,NA,0.189,59.6,238,RSE 59.6% - poorly identified
Covariate_CL,CLRACE4,Native Hawaiian or Other Pacific Islander on CL,proportional change,NA,NA,0.176,42.2,238,
Covariate_CL,CLRACE5,American Indian or Alaska Native on CL,proportional change,NA,NA,-0.592,6.3,238,Very small n; low RSE is misleading
Covariate_F1,F1HF,High-fat meal on F1,proportional change,NA,NA,0.330,27.4,238,+33% AUCtau ss per p232
Covariate_F1,F1PPI,PPI on F1,proportional change,NA,NA,-0.177,38.0,238,Consistent with pH-dependent solubility
Covariate_KA,KAHF,High-fat meal on KA,proportional change,NA,NA,-0.614,10.2,238,Slower absorption with food
Covariate_V2,S2SEX1,Female on V2/F,proportional change,NA,NA,-0.200,22.4,238,Reference = Male
IIV,OMEGA.1.1,Inter-individual variability on apparent volume V2/F,see notes,0.324,61.9,0.285,57.4,239,"Column header says [%CV] but magnitude implies VARIANCE; sqrt(0.285)=0.534 approx 53% CV. MUST resolve against Amgen popPK report before simulating"
IIV,OMEGA.2.1,Covariance between V2/F and CL,correlation*100,0.205,57.9,0.177,67.0,239,Label says Correlation*100 but value is 0.177; labeling internally inconsistent. Resolve before use
IIV,OMEGA.2.2,Inter-individual variability on CL,see notes,0.388,68.9,0.247,53.0,239,sqrt(0.247)=0.497 approx 50% CV if variance. Note IIV on CL falls from base to final model as covariates absorb variability
IIV,OMEGA.3.1,Covariance between V2/F and absorption rate S2-KAIND,correlation*100,-0.125,-38.3,-0.114,38.4,239,
IIV,OMEGA.3.2,Covariance between CL and absorption rate CL-KAIND,correlation*100,0.061,16.9,0.02,7.64,239,
IIV,OMEGA.3.3,Inter-individual variability on absorption rate KAIND,see notes,0.33,62.5,0.305,59.8,239,
Residual,RES_EXP,Exponential (proportional) residual error,NA,0.64,NA,0.626,NA,239,RSE reported as ** (not provided). Combined additive plus proportional error model per p231
Residual,RES_ADD,Additive residual error,ng/mL,2.46,NA,3.82,NA,239,RSE reported as **
